Transcript PK, Syllable PK, Sequence PK
blɒkeɪd, eɪd, 2
blɒkt, ɒk, 1
blɒsəm, ɒs, 1
blɒsəm, əm, 2
blɜː(r), ɜːr, 1
blɪŋk, yŋ, 1
blɪəri, ɪər, 1
blʌd, ʌd, 1
blʌd'smel, ʌd, 1
blʌd'smel, el, 2
blʌdɪ, ʌd, 1
blʌnt, ʌn, 1
blʌʃ, ʌʃ, 1
braɪb, aɪb, 1
braɪd, aɪd, 1
braɪt, aɪt, 1
braʊn, aʊn, 1
bred, ed, 1
brekfəst, ek, 1
brekfəst, əs, 2
brest, es, 1
breɪk, eɪk, 1
breɪkʌp, eɪk, 1
breɪkʌp, ʌp, 2
breɪn, eɪn, 1
breɪs, eɪs, 1
breɪv, eɪv, 1
breɪzən, eɪz, 1
breɪzən, ən, 2
breθ, eθ, 1
briːd, iːd, 1
briːf, iːf, 1
briːfkeɪs, iːf, 1
briːfkeɪs, eɪs, 2
briːfli, iːf, 1
briːtʃ, iːtʃ, 1
briːzi, iːz, 1
bruːˈnaɪ, uːn, 1
bræd, æd, 1
brænd, æn, 1
brɑːntʃ, ɑːn, 1
brɔːd, ɔːd, 1
brɔːdkɑːstɪŋ, ɔːd, 1
brɔːdkɑːstɪŋ, ɑːs, 2
brɔːdkɑːstɪŋ, yŋ, 3
brɔːdli, ɔːd, 1
brɔːt, ɔːt, 1
brəʊk, əʊk, 1
brəˈzɪliən, əz, 1
brəˈzɪliən, yl, 2
brɪdʒ, ydʒ, 1
brɪk, yk, 1
brɪliənt, yl, 1
brɪn, yn, 1
brɪsəl, ys, 1
brɪsəl, əl, 2
brɪtɪʃ, yt, 1
brɪtɪʃ, yʃ, 2
brɪŋ, yŋ, 1
brɪŋk, yŋ, 1
brɪŋkmənʃɪp, yŋ, 1
brɪŋkmənʃɪp, ən, 2
brɪŋkmənʃɪp, yp, 3
brʊk, ʊk, 1
brʊks, ʊk, 1
brʌnt, ʌn, 1
brʌʃ, ʌʃ, 1
brʌʃt, ʌʃ, 1
buː(r)s, uːr, 1
buːfɒn, uːf, 1
buːfɒn, ɒn, 2
buːgi, uːg, 1
buːm, uːm, 1
buːn, uːn, 1
buːst, uːs, 1
buːt, uːt, 1
buːtiːk, uːt, 1
buːtiːk, iːk, 2
buːts, uːt, 1
buːtstræpˈbuːtˌstræp, uːt, 1
buːtstræpˈbuːtˌstræp, æp, 2
buːtstræpˈbuːtˌstræp, uːt, 3
buːtstræpˈbuːtˌstræp, æp, 4
buːð, uːð, 1
bæd, æd, 1
bædli, æd, 1
bæg, æg, 1
bæk, æk, 1
bækboʊn, æk, 1
bækdrɒp, æk, 1
bækdrɒp, ɒp, 2
bækgraʊnd, æk, 1
bækgraʊnd, aʊn, 2
bæklæʃ, æk, 1
bæklæʃ, æʃ, 2
bæks, æk, 1
bæksteɪdʒ, æk, 1
bæksteɪdʒ, eɪdʒ, 2
bækt, æk, 1
bækwə(r)d, æk, 1
bækwə(r)d, ər, 2
bækwə(r)dz, æk, 1
bækwə(r)dz, ər, 2
bælət, æl, 1
bælət, ət, 2
bæn, æn, 1
bænd, æn, 1
bændz, æn, 1
bænz, æn, 1
bærɑːʒ, ær, 1
bærɑːʒ, ɑːʒ, 2
bærən, ær, 1
bærən, ən, 2
bæt, æt, 1
bæts, æt, 1
bætʃ, ætʃ, 1
bætʃələ(r), ætʃ, 1
bætʃələ(r), əl, 2
bætʃələ(r), ər, 3
bæŋk, æŋ, 1
bæŋks, æŋ, 1
bæŋkəbəl, æŋ, 1
bæŋkəbəl, əb, 2
bæŋkəbəl, əl, 3
bɑː(r), ɑːr, 1
bɑː(r)ˈbeəriən, ɑːr, 1
bɑː(r)ˈbeəriən, eər, 2
bɑːm, ɑːm, 1
bɑːskɪt, ɑːs, 1
bɑːskɪt, yt, 2
bɑːskɪtbɔːl, ɑːs, 1
bɑːskɪtbɔːl, yt, 2
bɑːskɪtbɔːl, ɔːl, 3
bɑːstə(r)d, ɑːs, 1
bɑːstə(r)d, ər, 2
bɑːt, ɑːt, 1
bɑːθ, ɑːθ, 1
bɒb, ɒb, 1
bɒdi, ɒd, 1
bɒdɪz, ɒd, 1
bɒdɪz, yz, 2
bɒks, ɒk, 1
bɒm, ɒm, 1
bɒnd, ɒn, 1
bɒndz, ɒn, 1
bɒnfaɪə(r), ɒn, 1
bɒnfaɪə(r), ɪər, 2
bɒs, ɒs, 1
bɒtəl, ɒt, 1
bɒtəl, əl, 2
bɒtələ(r), ɒt, 1
bɒtələ(r), əl, 2
bɒtələ(r), ər, 3
bɒtʃ, ɒtʃ, 1
bɒʃ, ɒʃ, 1
bɔɪfrend, ɔɪf, 1
bɔɪfrend, en, 2
bɔɪkɒt, ɔɪk, 1
bɔɪkɒt, ɒt, 2
bɔɪl, ɔɪl, 1
bɔɪz, ɔɪz, 1
bɔː(r), ɔːr, 1
bɔː(r)d, ɔːr, 1
bɔː(r)n, ɔːr, 1
bɔːdz, ɔːd, 1
bɔːld, ɔːl, 1
bɔːlz, ɔːl, 1
bɔːt, ɔːt, 1
bənænzə, ən, 1
bənænzə, æn, 2
bərɒmɪtə(r), ər, 1
bərɒmɪtə(r), ɒm, 2
bərɒmɪtə(r), yt, 3
bərɒmɪtə(r), ər, 4
bət, ət, 1
bəʊl, əʊl, 1
bəʊld, əʊl, 1
bəʊlz, əʊl, 1
bəʊnz, əʊn, 1
bəʊst, əʊs, 1
bəʊt, əʊt, 1
bəʊˈdiːɡə, əʊd, 1
bəʊθ, əʊθ, 1
bəˈluːn, əl, 1
bəˈluːn, uːn, 2
bəˈluːnɪŋ, əl, 1
bəˈluːnɪŋ, uːn, 2
bəˈluːnɪŋ, yŋ, 3
bəˈrʊndɪ, ər, 1
bəˈrʊndɪ, ʊn, 2
bəˈrʊndɪən, ər, 1
bəˈrʊndɪən, ʊn, 2
bəˈrʊndɪən, ɪən, 3
bɛlˈɡreɪd, eɪd, 1
bɛnɪfɪts, yf, 1
bɛnɪfɪts, yt, 2
bɛəd, əd, 1
bɜː(r)dən, ɜːr, 1
bɜː(r)dən, ən, 2
bɜː(r)dənsəm, ɜːr, 1
bɜː(r)dənsəm, ən, 2
bɜː(r)dənsəm, əm, 3
bɜː(r)n, ɜːr, 1
bɜː(r)st, ɜːr, 1
bɜː(r)θdeɪ, ɜːr, 1
bɜː(r)θpleɪs, ɜːr, 1
bɜː(r)θpleɪs, eɪs, 2
bɜːnd, ɜːn, 1
bɜːnz, ɜːn, 1
bɜːˈkiːnəˈfæsəʊ, ɜːk, 1
bɜːˈkiːnəˈfæsəʊ, iːn, 2
bɜːˈkiːnəˈfæsəʊ, əf, 3
bɜːˈkiːnəˈfæsəʊ, æs, 4
bɜːˈlɪnə, ɜːl, 1
bɜːˈlɪnə, yn, 2
bɪ'gæn, æn, 1
bɪ'kɒz, ɒz, 1
bɪ'saɪd, aɪd, 1
bɪd, yd, 1
bɪhaɪnd, yh, 1
bɪhaɪnd, aɪn, 2
bɪheɪv, yh, 1
bɪheɪv, eɪv, 2
bɪheɪvyər, yh, 1
bɪheɪvyər, eɪv, 2
bɪhiːmɒθ, yh, 1
bɪhiːmɒθ, iːm, 2
bɪhiːmɒθ, ɒθ, 3
bɪjɒnd, yj, 1
bɪjɒnd, ɒn, 2
bɪl, yl, 1
bɪld, yl, 1
bɪleɪtɪd, yl, 1
bɪleɪtɪd, eɪt, 2
bɪleɪtɪd, yd, 3
bɪloʊ, yl, 1
bɪlt, yl, 1
bɪm, ym, 1
bɪnaɪn, yn, 1
bɪnaɪn, aɪn, 2
bɪndʒ, yn, 1
bɪsaɪdz, ys, 1
bɪsaɪdz, aɪd, 2
bɪt, yt, 1
bɪtroʊðəl, yt, 1
bɪtroʊðəl, əl, 2
bɪtə(r), yt, 1
bɪtə(r), ər, 2
bɪweə(r), yw, 1
bɪweə(r), eər, 2
bɪŋ, yŋ, 1
bɪə(r), ɪər, 1
bɪə(r)d, ɪər, 1
bɪˈfɪt, yf, 1
bɪˈfɪt, yt, 2
bɪˈkeɪm, yk, 1
bɪˈkeɪm, eɪm, 2
bɪˈkʌm, yk, 1
bɪˈkʌm, ʌm, 2
bɪˈkʌmɪŋ, yk, 1
bɪˈkʌmɪŋ, ʌm, 2
bɪˈkʌmɪŋ, yŋ, 3
bɪˈliːf, yl, 1
bɪˈliːf, iːf, 2
bɪˈliːv, yl, 1
bɪˈliːv, iːv, 2
bɪˈliːɡə(r)d, yl, 1
bɪˈliːɡə(r)d, ər, 2
bɪˈlɒŋ, yl, 1
bɪˈlɒŋ, ɒŋ, 2
bɪˈspəʊk, ys, 1
bɪˈspəʊk, əʊk, 2
bɪˈɡæt, æt, 1
bɪˈɡɪn, yn, 1
bɪˈɡɪnɪŋ, yn, 1
bɪˈɡɪnɪŋ, yŋ, 2
bɪˈɡʌn, ʌn, 1
bʊk, ʊk, 1
bʊksbʊks, ʊk, 1
bʊksbʊks, ʊk, 2
bʊl, ʊl, 1
bʊliən, ʊl, 1
bʊlwə(r)k, ʊl, 1
bʊlwə(r)k, ər, 2
bʊlɪʃ, ʊl, 1
bʊlɪʃ, yʃ, 2
bʊlʃɪt, ʊl, 1
bʊlʃɪt, yt, 2
bʊzəm, ʊz, 1
bʊzəm, əm, 2
bʊˈtʃwɑːnə, ʊtʃ, 1
bʊˈtʃwɑːnə, ɑːn, 2
bʌk, ʌk, 1
bʌkt, ʌk, 1
bʌlb, ʌl, 1
bʌlk, ʌl, 1
bʌlks, ʌl, 1
bʌlˈɡɛərɪə, ʌl, 1
bʌlˈɡɛərɪə, ər, 2
bʌmp, ʌm, 1
bʌmpi, ʌm, 1
bʌmps, ʌm, 1
bʌnd, ʌn, 1
bʌs, ʌs, 1
bʌst, ʌs, 1
bʌsəl, ʌs, 1
bʌsəl, əl, 2
bʌz, ʌz, 1
daɪd, aɪd, 1
daɪleɪt, aɪl, 1
daɪleɪt, eɪt, 2
daɪn, aɪn, 1
daɪz, aɪz, 1
daɪətri, ɪət, 1
daɪˈdʒest, aɪdʒ, 1
daɪˈdʒest, es, 2
daɪˈluːt, aɪl, 1
daɪˈluːt, uːt, 2
daɪˈnæmɪk, aɪn, 1
daɪˈnæmɪk, æm, 2
daɪˈnæmɪk, yk, 3
daɪˈvest, aɪv, 1
daɪˈvest, es, 2
daɪˈvestmənt, aɪv, 1
daɪˈvestmənt, es, 2
daɪˈvestmənt, ən, 3
daɪˈvɜː(r)dʒ, aɪv, 1
daɪˈvɜː(r)dʒ, ɜːr, 2
daɪˈvɜː(r)sɪfaɪ, aɪv, 1
daɪˈvɜː(r)sɪfaɪ, ɜːr, 2
daɪˈvɜː(r)sɪfaɪ, yf, 3
daɪˈvɜː(r)sɪfaɪd, aɪv, 1
daɪˈvɜː(r)sɪfaɪd, ɜːr, 2
daɪˈvɜː(r)sɪfaɪd, yf, 3
daɪˈvɜː(r)sɪfaɪd, aɪd, 4
daɪˈvɜː(r)t, aɪv, 1
daɪˈvɜː(r)t, ɜːr, 2
daɪˈvɜː(r)tɪŋ, aɪv, 1
daɪˈvɜː(r)tɪŋ, ɜːr, 2
daɪˈvɜː(r)tɪŋ, yŋ, 3
daʊn, aʊn, 1
daʊt, aʊt, 1
ded, ed, 1
dekləreɪʃən, ek, 1
dekləreɪʃən, ər, 2
dekləreɪʃən, eɪʃ, 3
dekləreɪʃən, ən, 4
delt, el, 1
delɪkət, el, 1
delɪkət, yk, 2
delɪkət, ət, 3
deməkrætɪk, em, 1
deməkrætɪk, ək, 2
deməkrætɪk, æt, 3
deməkrætɪk, yk, 4
despərət, es, 1
despərət, ər, 2
despərət, ət, 3
desɪkreɪt, es, 1
desɪkreɪt, yk, 2
desɪkreɪt, eɪt, 3
det, et, 1
detə(r), et, 1
detə(r), ər, 2
devəl, ev, 1
devəl, əl, 2
devəlɪʃ, ev, 1
devəlɪʃ, əl, 2
devəlɪʃ, yʃ, 3
devəsteɪtɪŋ, ev, 1
devəsteɪtɪŋ, əs, 2
devəsteɪtɪŋ, eɪt, 3
devəsteɪtɪŋ, yŋ, 4
deə(r), eər, 1
deɪl, eɪl, 1
deɪlaɪt, eɪl, 1
deɪlaɪt, aɪt, 2
deɪli, eɪl, 1
deɪt, eɪt, 1
deɪts, eɪt, 1
deɪtɪŋ, eɪt, 1
deɪtɪŋ, yŋ, 2
deɪz, eɪz, 1
deθ, eθ, 1
diːfrɒst, iːf, 1
diːfrɒst, ɒs, 2
diːl, iːl, 1
diːlɪŋz, iːl, 1
diːlɪŋz, yŋ, 2
diːm, iːm, 1
diːp, iːp, 1
diːˈkriːs, iːk, 1
diːˈkriːs, iːs, 2
diːˈreɪl, iːr, 1
diːˈreɪl, eɪl, 2
diːˈseləreɪt, iːs, 1
diːˈseləreɪt, el, 2
diːˈseləreɪt, ər, 3
diːˈseləreɪt, eɪt, 4
diːˈsteɪbəlaɪz, iːs, 1
diːˈsteɪbəlaɪz, eɪb, 2
diːˈsteɪbəlaɪz, əl, 3
diːˈsteɪbəlaɪz, aɪz, 4
diːˈvæljuː, iːv, 1
diːˈvæljuː, æl, 2
djuːbiəs, uːb, 1
djʊərɪŋ, ʊər, 1
djʊərɪŋ, yŋ, 2
djʊˈreɪʃ(ə)n, ʊr, 1
djʊˈreɪʃ(ə)n, eɪʃ, 2
djʊˈreɪʃ(ə)n, ən, 3
draɪd, aɪd, 1
draɪv, aɪv, 1
draʊnd, aʊn, 1
dredfʊl, ed, 1
dredfʊl, ʊl, 2
drest, es, 1
dreɪnd, eɪn, 1
drægɪŋ, æg, 1
drægɪŋ, yŋ, 2
drɑːft, ɑːf, 1
drɒp, ɒp, 1
drɔːn, ɔːn, 1
drəʊn, əʊn, 1
drəʊv, əʊv, 1
drɪl, yl, 1
drɪŋk, yŋ, 1
drɪŋkɪŋ, yŋ, 1
drɪŋkɪŋ, yŋ, 2
dwɔː(r)f, ɔːr, 1
dæm, æm, 1
dæmp, æm, 1
dæʃt, æʃ, 1
dɑ:knəs, əs, 1
dɑː(r)k, ɑːr, 1
dɑː(r)lɪŋ, ɑːr, 1
dɑː(r)lɪŋ, yŋ, 2
dɑːft, ɑːf, 1
dɑːnsə(r), ɑːn, 1
dɑːnsə(r), ər, 2
dɑːnsɪŋ, ɑːn, 1
dɑːnsɪŋ, yŋ, 2
dɒg, ɒg, 1
dɒgz, ɒg, 1
dɔː(r), ɔːr, 1
dəz, əz, 1
dəʊl, əʊl, 1
dəʊˈneɪt, əʊn, 1
dəʊˈneɪt, eɪt, 2
dəʊˈneɪʃ(ə)n, əʊn, 1
dəʊˈneɪʃ(ə)n, eɪʃ, 2
dəʊˈneɪʃ(ə)n, ən, 3
dəˈlɔrɪs, əl, 1
dəˈlɔrɪs, ys, 2
dəˈrektə(r), ər, 1
dəˈrektə(r), ek, 2
dəˈrektə(r), ər, 3
dɜː(r)t, ɜːr, 1
dɪ'vəʊtɪd, əʊt, 1
dɪ'vəʊtɪd, yd, 2
dɪd, yd, 1
dɪfrənt, yf, 1
dɪfrənt, ən, 2
dɪgɪŋ, yg, 1
dɪgɪŋ, yŋ, 2
dɪk, yk, 1
dɪlaɪtɪd, yl, 1
dɪlaɪtɪd, aɪt, 2
dɪlaɪtɪd, yd, 3
dɪm, ym, 1
dɪmɒlɪʃ, ym, 1
dɪmɒlɪʃ, ɒl, 2
dɪmɒlɪʃ, yʃ, 3
dɪp, yp, 1
dɪpɪkt, yp, 1
dɪpɪkt, yk, 2
dɪsaɪd, ys, 1
dɪsaɪd, aɪd, 2
dɪsgaɪz, ys, 1
dɪsgaɪz, aɪz, 2
dɪskriːt, ys, 1
dɪskriːt, iːt, 2
dɪspliːz, ys, 1
dɪspliːz, iːz, 2
dɪspliːzd, ys, 1
dɪspliːzd, iːz, 2
dɪssætɪsfækʃən, ys, 1
dɪssætɪsfækʃən, æt, 2
dɪssætɪsfækʃən, ys, 3
dɪssætɪsfækʃən, æk, 4
dɪssætɪsfækʃən, ən, 5
dɪstræktɪd, ys, 1
dɪstræktɪd, æk, 2
dɪstræktɪd, yd, 3
dɪstɪŋgwɪʃ, ys, 1
dɪstɪŋgwɪʃ, yŋ, 2
dɪstɪŋgwɪʃ, yʃ, 3
dɪstɪŋkt, ys, 1
dɪstɪŋkt, yŋ, 2
dɪstʃɑː(r)dʒ, ys, 1
dɪstʃɑː(r)dʒ, ɑːr, 2
dɪsəgriːəbəl, ys, 1
dɪsəgriːəbəl, əg, 2
dɪsəgriːəbəl, əb, 3
dɪsəgriːəbəl, əl, 4
dɪsˈbɜː(r)s, ys, 1
dɪsˈbɜː(r)s, ɜːr, 2
dɪsˈeɪb(ə)ld, ys, 1
dɪsˈeɪb(ə)ld, eɪb, 2
dɪsˈeɪb(ə)ld, əl, 3
dɪsˈkaʊntɪd, ys, 1
dɪsˈkaʊntɪd, aʊn, 2
dɪsˈkaʊntɪd, yd, 3
dɪsˈkləʊz, ys, 1
dɪsˈkləʊz, əʊz, 2
dɪsˈkləʊʒə(r), ys, 1
dɪsˈkləʊʒə(r), əʊʒ, 2
dɪsˈkləʊʒə(r), ər, 3
dɪsˈkʌrɪdʒ, ys, 1
dɪsˈkʌrɪdʒ, ʌr, 2
dɪsˈkʌrɪdʒ, ydʒ, 3
dɪsˈkʌrɪdʒd, ys, 1
dɪsˈkʌrɪdʒd, ʌr, 2
dɪsˈkʌrɪdʒd, ydʒ, 3
dɪsˈkʌrɪdʒɪŋ, ys, 1
dɪsˈkʌrɪdʒɪŋ, ʌr, 2
dɪsˈkʌrɪdʒɪŋ, ydʒ, 3
dɪsˈkʌrɪdʒɪŋ, yŋ, 4
dɪsˈlɒdʒ, ys, 1
dɪsˈlɒdʒ, ɒdʒ, 2
dɪsˈmeɪd, ys, 1
dɪsˈmeɪd, eɪd, 2
dɪsˈmɪs, ys, 1
dɪsˈmɪs, ys, 2
dɪsˈmɪs(ə)l, ys, 1
dɪsˈmɪs(ə)l, ys, 2
dɪsˈmɪs(ə)l, əl, 3
dɪsˈpleɪs, ys, 1
dɪsˈpleɪs, eɪs, 2
dɪsˈrʌpt, ys, 1
dɪsˈrʌpt, ʌp, 2
dɪsˈrʌpʃ(ə)n, ys, 1
dɪsˈrʌpʃ(ə)n, ʌp, 2
dɪsˈrʌpʃ(ə)n, ən, 3
dɪtekʃən, yt, 1
dɪtekʃən, ek, 2
dɪtekʃən, ən, 3
dɪtætʃt, yt, 1
dɪtætʃt, ætʃ, 2
dɪvaɪn, yv, 1
dɪvaɪn, aɪn, 2
dɪvaʊə(r), yv, 1
dɪvaʊə(r), ʊər, 2
dɪzaɪnə(r), yz, 1
dɪzaɪnə(r), aɪn, 2
dɪzaɪnə(r), ər, 3
dɪˈbentʃə(r), yb, 1
dɪˈbentʃə(r), en, 2
dɪˈbentʃə(r), ər, 3
dɪˈbeɪt, yb, 1
dɪˈbeɪt, eɪt, 2
dɪˈbeɪtɪŋ, yb, 1
dɪˈbeɪtɪŋ, eɪt, 2
dɪˈbeɪtɪŋ, yŋ, 3
dɪˈfaɪn, yf, 1
dɪˈfaɪn, aɪn, 2
dɪˈfaɪnɪŋ, yf, 1
dɪˈfaɪnɪŋ, aɪn, 2
dɪˈfaɪnɪŋ, yŋ, 3
dɪˈfend, yf, 1
dɪˈfend, en, 2
dɪˈfendənt, yf, 1
dɪˈfendənt, en, 2
dɪˈfendənt, ən, 3
dɪˈfɔːlt, yf, 1
dɪˈfɔːlt, ɔːl, 2
dɪˈfɔːltɪŋ, yf, 1
dɪˈfɔːltɪŋ, ɔːl, 2
dɪˈfɔːltɪŋ, yŋ, 3
dɪˈfɜː(r), yf, 1
dɪˈfɜː(r), ɜːr, 2
dɪˈfɪʃ(ə)nsi, yf, 1
dɪˈfɪʃ(ə)nsi, yʃ, 2
dɪˈfɪʃ(ə)nsi, ən, 3
dɪˈklaɪn, yk, 1
dɪˈklaɪn, aɪn, 2
dɪˈklaɪnɪŋ, yk, 1
dɪˈklaɪnɪŋ, aɪn, 2
dɪˈklaɪnɪŋ, yŋ, 3
dɪˈkleə(r)d, yk, 1
dɪˈkleə(r)d, eər, 2
dɪˈlaɪt, yl, 1
dɪˈlaɪt, aɪt, 2
dɪˈlemə, yl, 1
dɪˈlemə, em, 2
dɪˈleɪ, yl, 1
dɪˈlɪvə(r), yl, 1
dɪˈlɪvə(r), yv, 2
dɪˈlɪvə(r), ər, 3
dɪˈmɑːnd, ym, 1
dɪˈmɑːnd, ɑːn, 2
dɪˈmɑːndɪŋ, ym, 1
dɪˈmɑːndɪŋ, ɑːn, 2
dɪˈmɑːndɪŋ, yŋ, 3
dɪˈmɪnɪʃ, ym, 1
dɪˈmɪnɪʃ, yn, 2
dɪˈmɪnɪʃ, yʃ, 3
dɪˈmɪnɪʃt, ym, 1
dɪˈmɪnɪʃt, yn, 2
dɪˈmɪnɪʃt, yʃ, 3
dɪˈnaɪ, yn, 1
dɪˈnɒmɪneɪt, yn, 1
dɪˈnɒmɪneɪt, ɒm, 2
dɪˈnɒmɪneɪt, yn, 3
dɪˈnɒmɪneɪt, eɪt, 4
dɪˈpend, yp, 1
dɪˈpend, en, 2
dɪˈpliːtɪd, yp, 1
dɪˈpliːtɪd, iːt, 2
dɪˈpliːtɪd, yd, 3
dɪˈplɔɪ, yp, 1
dɪˈprest, yp, 1
dɪˈprest, es, 2
dɪˈpresɪŋ, yp, 1
dɪˈpresɪŋ, es, 2
dɪˈpresɪŋ, yŋ, 3
dɪˈpriːʃieɪt, yp, 1
dɪˈpriːʃieɪt, iːʃ, 2
dɪˈpriːʃieɪt, eɪt, 3
dɪˈpɑː(r)t, yp, 1
dɪˈpɑː(r)t, ɑːr, 2
dɪˈpɑː(r)tmənt, yp, 1
dɪˈpɑː(r)tmənt, ɑːr, 2
